index,Name,Category,Phone,Avg_review,Reviews,Maps_url
97,SOUTH CENTER Shopping Mall,Shopping mall,,3.9,74,https://www.google.com/maps/place/SOUTH+CENTER+Shopping+Mall/data=!4m7!3m6!1s0x3bb5e7de36035ee9:0x4262aaa672b81d1f!8m2!3d15.8299202!4d78.0398634!16s%2Fg%2F11fl8zv3rj!19sChIJ6V4DNt7ntTsRHx24cqaqYkI?authuser=0&hl=en&rclk=1
98,South India Shopping,Shopping mall,090665 60560,4.3,212,https://www.google.com/maps/place/South+India+Shopping/data=!4m7!3m6!1s0x3a4a757f36238cd7:0xdc53f0316144d4ea!8m2!3d16.2931092!4d80.4489494!16s%2Fg%2F11svj13vxf!19sChIJ14wjNn91SjoR6tREYTHwU9w?authuser=0&hl=en&rclk=1
99,Lucky shopping mall,Shopping mall,,3.9,"3,217",https://www.google.com/maps/place/Lucky+shopping+mall/data=!4m7!3m6!1s0x3a3969a928a3ef15:0xd603e3ce93f22e8a!8m2!3d17.6855013!4d83.2125688!16s%2Fg%2F11g6wzsv9y!19sChIJFejKKlpOToRii7yk87jA9Y?authuser=0&hl=en&rclk=1
100,MBR Shopping Mall,Shopping mall,091107 33948,4.2,237,https://www.google.com/maps/place/MBR+Shopping+Mall/data=!4m7!3m6!1s0x3a49e74f23fa6a59:0x309fa7fe35ef52aa!8m2!3d16.1830885!4d81.1326763!16s%2Fg%2F11r8vt697x!19sChIJWWr6I0_nSToRqlLvNf6nnzA?authuser=0&hl=en&rclk=1
101,Janjanam Shopping Mall,Shopping mall,,3.8,359,https://www.google.com/maps/place/Janjanam+Shopping+Mall/data=!4m7!3m6!1s0x3a4a441847aee009:0xf43e9ffaa5ead640!8m2!3d15.8272648!4d80.3562622!16s%2Fg%2F1260_bks1!19sChIJCeCuRxhESjoRQNbqpfqfPvQ?authuser=0&hl=en&rclk=1
102,Lucky Shopping Mall,Shopping mall,,3.9,139,https://www.google.com/maps/place/Lucky+Shopping+Mall/data=!4m7!3m6!1s0x3bb531cb4f300275:0x3ec0d29ad99996cc!8m2!3d15.7431546!4d79.2744909!16s%2Fg%2F11v67p30zp!19sChIJdQIwT8sxtTsRzJaZ2ZrSwD4?authuser=0&hl=en&rclk=1
103,Miniso Guntur,Outlet mall,081429 99499,4.0,310,https://www.google.com/maps/place/Miniso+Guntur/data=!4m7!3m6!1s0x3a4a75c4cedc84bb:0x8973ce982b5963ad!8m2!3d16.3120557!4d80.4259832!16s%2Fg%2F11n08g5n3s!19sChIJu4TczsR1SjoRrWNZK5jOc4k?authuser=0&hl=en&rclk=1
104,KLM Fashion mall,Shopping mall,,3.8,454,https://www.google.com/maps/place/KLM+Fashion+mall/data=!4m7!3m6!1s0x3a3969d0d5cdde21:0x68d022319a1b64b8!8m2!3d17.6853011!4d83.2114215!16s%2Fg%2F11rcx70d5j!19sChIJId7N1dBpOToRuGQbmjEi0Gg?authuser=0&hl=en&rclk=1
105,City Central,Shopping mall,,3.7,121,https://www.google.com/maps/place/City+Central/data=!4m7!3m6!1s0x3a4d4b0230a9c5cb:0xf584769640916859!8m2!3d13.6387197!4d79.4187598!16s%2Fg%2F1pyqm87b8!19sChIJy8WpMAJLTToRWWiRQJZ2hPU?authuser=0&hl=en&rclk=1
106,Gopi shopping mall tallarevu,Shopping mall,,4.1,27,https://www.google.com/maps/place/Gopi+shopping+mall+tallarevu/data=!4m7!3m6!1s0x3a38217f9a13026b:0x79acdcb9193d1349!8m2!3d16.7837987!4d82.2307313!16s%2Fg%2F11fn04mypf!19sChIJawITmn8hODoRSRM9GbncrHk?authuser=0&hl=en&rclk=1
107,Nakshatra,Shopping mall,,4.1,338,https://www.google.com/maps/place/Nakshatra/data=!4m7!3m6!1s0x3a37d2ab1741687d:0x41cbf1ce871b4064!8m2!3d16.5465402!4d81.5174742!16s%2Fg%2F11f40jjtv_!19sChIJfWhBF6vSNzoRZEAbh87xy0E?authuser=0&hl=en&rclk=1
108,Sreerasthu Shopping Mall,Shopping mall,096000 14874,3.9,117,https://www.google.com/maps/place/Sreerasthu+Shopping+Mall/data=!4m7!3m6!1s0x3bb35fa645c581f1:0xff36cac1488f10a6!8m2!3d14.7386067!4d79.0608435!16s%2Fg%2F11fxcg2wzf!19sChIJ8YHFRaZfszsRphCPSMHKNv8?authuser=0&hl=en&rclk=1
109,SOUTH INDIA SHOPPING MALL,Shopping mall,,4.8,977,https://www.google.com/maps/place/SOUTH+INDIA+SHOPPING+MALL/data=!4m7!3m6!1s0x3a37efd1c883b965:0x3b787d7e831997bf!8m2!3d16.5745469!4d82.0037412!16s%2Fg%2F11l5rlxp_j!19sChIJZbmDyNHvNzoRv5cZg359eDs?authuser=0&hl=en&rclk=1
110,Subhavastra shopping mall vinukonda,Shopping mall,,4.9,68,https://www.google.com/maps/place/Subhavastra+shopping+mall+vinukonda/data=!4m7!3m6!1s0x3a4abde45200ab59:0x10a84d042e7c678f!8m2!3d16.0522346!4d79.7398707!16s%2Fg%2F11vpf0mwz1!19sChIJWasAUuS9SjoRj2d8LgRNqBA?authuser=0&hl=en&rclk=1
111,Vijayawada Complex,Shopping mall,,3.8,194,https://www.google.com/maps/place/Vijayawada+Complex/data=!4m7!3m6!1s0x3a38280b9c124621:0x2ad982bfae29ed38!8m2!3d16.958201!4d82.233592!16s%2Fg%2F1pyqlh7l6!19sChIJIUYSnAsoODoROO0prrC2So?authuser=0&hl=en&rclk=1
112,Laka Shopping Mall,Shopping mall,094917 64999,4.0,34,https://www.google.com/maps/place/Laka+Shopping+Mall/data=!4m7!3m6!1s0x3a35faa9c64f1edf:0xb9055c9cb488b7cd!8m2!3d16.5438162!4d80.642368!16s%2Fg%2F11g00y1hms!19sChIJ3x5Pxqn6NToRzbeItJxcBbk?authuser=0&hl=en&rclk=1
