Name,Category,Address,Phone,Avg_review,Reviews,Maps_url
Sri Durga Ladies Emporium & Sarees Center,Saree Shop,"GGV7+QGH, Irrinki St",,5,1,https://www.google.com/maps/place/Sri+Durga+Ladies+Emporium+%26+Sarees+Center/data=!4m7!3m6!1s0x3a362d0061147e0f:0x35394195b8eb3da8!8m2!3d16.5444354!4d81.5138579!16s%2Fg%2F11wgb1mbgp!19sChIJD34UYQAtNjoRqD3ruJVBOTU?authuser=0&hl=en&rclk=1
LADIES EMPORIUM,,,,,,https://www.google.com/maps/place/LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a39690c708c51af:0xeef4cd681f0d0dfd!8m2!3d17.6738192!4d83.2019354!16s%2Fg%2F11whlq64g6!19sChIJr1GMcAxpOToR_Q0NH2jN9O4?authuser=0&hl=en&rclk=1
S S FASHIONS & LADIES EMPORIUM,Women's clothing store,"79R9+3WR, Hyderabad - Sattenapalli Link Rd",,,,https://www.google.com/maps/place/S+S+FASHIONS+%26+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a7500273dccdb:0x1df373fa5eb57eb6!8m2!3d16.2902369!4d80.3697495!16s%2Fg%2F11wv6zg2b6!19sChIJ28w9JwB1SjoRtn61Xvpz8x0?authuser=0&hl=en&rclk=1
SUMANJALI CLOTHE EMPORIUM,Women's clothing store,"Do/No/3A, 7-6, Thootha Vari Street, near Radhika Matching Center",092906 50480,,,https://www.google.com/maps/place/SUMANJALI+CLOTHE+EMPORIUM/data=!4m7!3m6!1s0x3a3615b3f6d44269:0x160215efd24471aa!8m2!3d16.7066376!4d81.108164!16s%2Fg%2F11sqq5fz7f!19sChIJaULU9rMVNjoRqnFE0u8VAhY?authuser=0&hl=en&rclk=1
SRI GAYATRI EMPORIUM,Cosmetics store,"QM3P+9X3, SUPER BAZZAR STREET OPPO SUB COURT",092961 58388,5,2,https://www.google.com/maps/place/SRI+GAYATRI+EMPORIUM/data=!4m7!3m6!1s0x3a37b7286cc021a1:0xcd9d5b6b0922b989!8m2!3d16.7533837!4d81.6874263!16s%2Fg%2F11rd7v_0j2!19sChIJoSHAbCi3NzoRibkiCWtbnc0?authuser=0&hl=en&rclk=1
BHAVANI FANCY STORE AND LADIES EMPORIUM,General store,"Shop 1,Main Road, Road, opp. Ghs College",097059 20488,5,1,https://www.google.com/maps/place/BHAVANI+FANCY+STORE+AND+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a377f4f0dcdab0f:0x1601ee434263fe2e!8m2!3d17.2021598!4d82.1816749!16s%2Fg%2F11t1r7crh9!19sChIJD6vNDU9_NzoRLv5jQkPuARY?authuser=0&hl=en&rclk=1
Shri Adilakshmi Silk Emporium,Saree Shop,CP9G+HMX,,4,4,https://www.google.com/maps/place/Shri+Adilakshmi+Silk+Emporium/data=!4m7!3m6!1s0x3bb143ff0707f0c9:0xb56919b6595cb7a!8m2!3d14.4189782!4d77.7267295!16s%2Fg%2F11k4spftl_!19sChIJyfAHB_9DsTsResuVZZuRVgs?authuser=0&hl=en&rclk=1
Murali Saree Mandir,Women's clothing store,·,092469 41444,3.8,204,https://www.google.com/maps/place/Murali+Saree+Mandir/data=!4m7!3m6!1s0x3bb3721c38be5c5f:0xa1410de9d0ab2f1c!8m2!3d14.4803159!4d78.8226476!16s%2Fg%2F11gzp4x4j!19sChIJX1y-OBxyszsRHC-r0OkNQaE?authuser=0&hl=en&rclk=1
Jai bhavani ladies emporium,Flamenco dance store,Vadisilamma complex,,,,https://www.google.com/maps/place/Jai+bhavani+ladies+emporium/data=!4m7!3m6!1s0x3bb1ab447dad1a3f:0xa2c10a4d7e40752!8m2!3d13.9394473!4d77.2666427!16s%2Fg%2F11v6fmrlrn!19sChIJPxqtfUSrsTsRUgfk16QQLAo?authuser=0&hl=en&rclk=1
Aruna Ladies Emporium,Women's clothing store,·,086398 00228,4.5,21,https://www.google.com/maps/place/Aruna+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb9d1acb4caddf:0x388e41c4e8b2e8d9!8m2!3d17.5032044!4d78.5919674!16s%2Fg%2F11f5v42z_j!19sChIJ361MyxqdyzsR2eiy6MRBjjg?authuser=0&hl=en&rclk=1
