"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone"
"https://www.google.com/maps/place/Naresh+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb92916031111b:0xc6ca68c5ccc33145!8m2!3d17.4941994!4d78.3232135!16s%2Fg%2F1pv0cg_3w!19sChIJGxExYJGSyzsRRTHDzMVoysY?authuser=0&hl=en&rclk=1","Naresh Pooja Samagri","4.3","(27)","Religious goods store","Shop No. 4-123, Manjeera Rd, opp. Vicky Function Hall","095056 20928"
"https://www.google.com/maps/place/Aacharya+Silks+And+Pooja+Store/data=!4m7!3m6!1s0x3bcb936b34cdbb27:0x12d0c885857aabcb!8m2!3d17.4410773!4d78.3606226!16s%2Fg%2F11t2cmvl_w!19sChIJJ7vNNGuTyzsRy6t6hYXI0BI?authuser=0&hl=en&rclk=1","Aacharya Silks And Pooja Store","4.6","(34)","Religious goods store","G5, Kanhaiyalal Complex, Main, Nehru Outer Ring Rd","090635 13506"
"https://www.google.com/maps/place/Krishna+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb8d5634b7cba9:0x88ae71ae74632326!8m2!3d17.5116017!4d78.3017948!16s%2Fg%2F11c702w53j!19sChIJqcu3NFaNyzsRJiNjdK5xrog?authuser=0&hl=en&rclk=1","Krishna Pooja Samagri","4.2","(54)","Craft store","13-63, Main Road","094142 12331"
"https://www.google.com/maps/place/Ganesh+Narayan+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb97b1821a34d1:0x867c627898b1d206!8m2!3d17.3615523!4d78.4362698!16s%2Fg%2F11ckqr9x9q!19sChIJ0TQagrGXyzsRBtKxmHhifIY?authuser=0&hl=en&rclk=1","Ganesh Narayan Pooja Samagri","4.9","(70)","Religious goods store","Sai krupa building, NM Guda Rd, near Hanuman temple Entrance, beside lane of goverdham traders","079816 18897"
"https://www.google.com/maps/place/Sri+Vijaya+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb9418e2364975:0xdb7348b4c7f2f304!8m2!3d17.4007706!4d78.3788736!16s%2Fg%2F11btwk25_g!19sChIJdUk24hiUyzsRBPPyx7RIc9s?authuser=0&hl=en&rclk=1","Sri Vijaya Pooja Samagri","3.7","(250)","Religious goods store","·","084134 02224"
"https://www.google.com/maps/place/Sri+Madhuri+Pooja+Stores/data=!4m7!3m6!1s0x3bcba3eb4cfcbd4b:0x7d6bce1c07f2f54a!8m2!3d17.32155!4d78.5650295!16s%2Fg%2F11nsr_rqz4!19sChIJS738TOujyzsRSvXyBxzOa30?authuser=0&hl=en&rclk=1","Sri Madhuri Pooja Stores","5.0","(71)","Religious goods store","plot no-42 , LIG Phase V SF Colony Vanasthalipuram","098488 59542"
"https://www.google.com/maps/place/Sri+Srinivasa+pooja+Samagri,+Kukatpally/data=!4m7!3m6!1s0x3bcb91d4d0beafed:0x4c4ff35ffbae9dce!8m2!3d17.4892281!4d78.4153019!16s%2Fg%2F11ssxb3d4s!19sChIJ7a--0NSRyzsRzp2u-1_zT0w?authuser=0&hl=en&rclk=1","Sri Srinivasa pooja Samagri, Kukatpally","5.0","(9)","Religious goods store","Plot no 95, House 5, 3-185, opp. chintapatla venkaiah park",""
"https://www.google.com/maps/place/Bhakthi+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb91efefffffdb:0x9e4dec6670a069f0!8m2!3d17.503536!4d78.3963049!16s%2Fg%2F11f0kxpw_9!19sChIJ2___7--RyzsR8GmgcGbsTZ4?authuser=0&hl=en&rclk=1","Bhakthi Pooja Samagri","4.9","(80)","Religious goods store","H No.2-23-487,Plot No.380,HMT Hills, Backside Ramalayam,JNTU Roaf","080999 96014"
"https://www.google.com/maps/place/A.+Narsing+Rao+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb9741333a2079:0x75048092b8ac5397!8m2!3d17.4088728!4d78.4566276!16s%2Fg%2F1ptx0l2y5!19sChIJeSA6M0GXyzsRl1OsuJKABHU?authuser=0&hl=en&rclk=1","A. Narsing Rao Pooja Samagri Stores","4.1","(18)","Religious goods store","10-1, 327, Street Number 7","092475 82076"
"https://www.google.com/maps/place/SAI+GANESHA+POOJA+SAMAGRI/data=!4m7!3m6!1s0x3bcb93a4fcfca257:0x17cce215360f7782!8m2!3d17.4944016!4d78.3230874!16s%2Fg%2F11qgyx4rgl!19sChIJV6L8_KSTyzsRgncPNhXizBc?authuser=0&hl=en&rclk=1","SAI GANESHA POOJA SAMAGRI","4.9","(26)","Religious goods store","H.No.4-124, Nimmagadda Plaza, Manjeera Rd, opp. Anitha Nursing Home","093355 53666"
