Name,Category,Address,Phone,Avg_review,Reviews,Maps_url
Laharika Ladies Emporium,Costume store,"Shop No.2,Suchitra, Qutubullapur Main Rd, Durga Estate, Jeedimetla",098480 89791,4,6,https://www.google.com/maps/place/Laharika+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb900ea67ee435:0xd9078ecac35e7f33!8m2!3d17.5025302!4d78.4684396!16s%2Fg%2F1ygjd48y5!19sChIJNeR-pg6QyzsRM39ew8qOB9k?authuser=0&hl=en&rclk=1
New Navrang Ladies Emporium & Exclusive Hosiery,Boutique,"9G9F+77V, Dilsukh Nagar, beside Venkatadri Cinema Theatre",040 2406 4228,3.8,4,https://www.google.com/maps/place/New+Navrang+Ladies+Emporium+%26+Exclusive+Hosiery/data=!4m7!3m6!1s0x3bcb98ec55555555:0xbf4da02446c6359c!8m2!3d17.3682399!4d78.5231696!16s%2Fg%2F1tfh32z8!19sChIJVVVVVeyYyzsRnDXGRiSgTb8?authuser=0&hl=en&rclk=1
Sri Sai Ladies Emporium,General store,Bapu Nagar,091828 61355,5,1,https://www.google.com/maps/place/Sri+Sai+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb9657716faeed:0x4facffeb47b29fb4!8m2!3d17.3741321!4d78.4193804!16s%2Fg%2F1q2v_2b98!19sChIJ7a5vcVeWyzsRtJ-yR-v_rE8?authuser=0&hl=en&rclk=1
Maheshwari Ladies Emporium,Women's clothing store,,,5,1,https://www.google.com/maps/place/Maheshwari+Ladies+Emporium/data=!4m7!3m6!1s0x3bcba15a5bb7fe57:0x2baba1371bc959df!8m2!3d17.2935843!4d78.610102!16s%2Fg%2F11qpwrnz6k!19sChIJV_63W1qhyzsR31nJGzehqys?authuser=0&hl=en&rclk=1
Laxmi ladies emporium,Jewelry store,"6-21, near gandhi statu",,5,1,https://www.google.com/maps/place/Laxmi+ladies+emporium/data=!4m7!3m6!1s0x3bccedaf016b302b:0xc00d040f21d708a8!8m2!3d18.1615961!4d78.8993195!16s%2Fg%2F11jt59j52z!19sChIJKzBrAa_tzDsRqAjXIQ8EDcA?authuser=0&hl=en&rclk=1
SV ladies emporium,Jewelry store,8-4-369/465-J,,5,1,https://www.google.com/maps/place/SV+ladies+emporium/data=!4m7!3m6!1s0x3bcb91677c5532d3:0xda33f6025653d849!8m2!3d17.448994!4d78.4077118!16s%2Fg%2F11txhnbc3c!19sChIJ0zJVfGeRyzsRSdhTVgL2M9o?authuser=0&hl=en&rclk=1
M S LADIES EMPORIUM,Jeweler,near Fish Market,,5,1,https://www.google.com/maps/place/M+S+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb91365c71308f:0xb277dc9198f5c6ca!8m2!3d17.4411109!4d78.4250222!16s%2Fg%2F11tmfs19fx!19sChIJjzBxXDaRyzsRysb1mJHcd7I?authuser=0&hl=en&rclk=1
Gayatri Ladies emporium,Bangle Shop,opp. krishnaveni school,085550 81682,5,3,https://www.google.com/maps/place/Gayatri+Ladies+emporium/data=!4m7!3m6!1s0x3bcba3bbb8f5a06f:0xbb190dc7eb28fd79!8m2!3d17.3220952!4d78.5379596!16s%2Fg%2F11w22j6sqy!19sChIJb6D1uLujyzsRef0o68cNGbs?authuser=0&hl=en&rclk=1
Pavan Ladies Emporium Bangle Store & Hosiery,Bangle Shop,"G2, Shilpi Apartments, Near, Konark Theatre Ln, beside AMRUTHAM AYURVEDIC BAZAR",084668 81909,5,17,https://www.google.com/maps/place/Pavan+Ladies+Emporium+Bangle+Store+%26+Hosiery/data=!4m7!3m6!1s0x3bcb99020bc94395:0xa3ef966eff84348e!8m2!3d17.36732!4d78.5253181!16s%2Fg%2F11j13k02kn!19sChIJlUPJCwKZyzsRjjSE_26W76M?authuser=0&hl=en&rclk=1
SS ladies emporium,Bangle Shop,1-211/431,083413 36737,5,8,https://www.google.com/maps/place/SS+ladies+emporium/data=!4m7!3m6!1s0x3bcb915ddf453e6b:0x7c46cf666e6121f8!8m2!3d17.4558433!4d78.3979091!16s%2Fg%2F11s0n50k6z!19sChIJaz5F312RyzsR-CFhbmbPRnw?authuser=0&hl=en&rclk=1
Sangeetha Ladies Emporium,Store,8JP5+M35,,4.1,10,https://www.google.com/maps/place/Sangeetha+Ladies+Emporium/data=!4m7!3m6!1s0x3bcba1a93a849021:0x548f469c15a4a823!8m2!3d17.3366422!4d78.6077248!16s%2Fg%2F11kn4s9v9d!19sChIJIZCEOqmhyzsRI6ikFZxGj1Q?authuser=0&hl=en&rclk=1
Sri Krishna Ladies Emporium,Cosmetics store,"Shop No.30/B, 1st Floor, Alluri Complex,KPHB Opp., Kukatpally",098480 36412,4,1,https://www.google.com/maps/place/Sri+Krishna+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb91eb379688b9:0x17225f00459c3d0a!8m2!3d17.493798!4d78.4027954!16s%2Fg%2F1yh9sqcjv!19sChIJuYiWN-uRyzsRCj2cRQBfIhc?authuser=0&hl=en&rclk=1
princess ladies emporium,Cosmetics store,,,5,1,https://www.google.com/maps/place/princess+ladies+emporium/data=!4m7!3m6!1s0x3bcb997d2fa861e5:0x75b34ee7eadf0992!8m2!3d17.3526425!4d78.4973165!16s%2Fg%2F11x5f0qbrr!19sChIJ5WGoL32ZyzsRkgnf6udOs3U?authuser=0&hl=en&rclk=1
LADIES EMPORIUM,Clothing store,,,5,1,https://www.google.com/maps/place/LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb9707945120d3:0xbfb74656b4ee4a87!8m2!3d17.3799333!4d78.4394641!16s%2Fg%2F11lchmrv5_!19sChIJ0yBRlAeXyzsRh0rutFZGt78?authuser=0&hl=en&rclk=1
Charitha And Nitya Ladies Emporium Matching Center,Cosmetics store,"Shop No. 4, 42-1071",096405 51849,5,1,https://www.google.com/maps/place/Charitha+And+Nitya+Ladies+Emporium+Matching+Center/data=!4m7!3m6!1s0x3bcb91b63bf21d4f:0x11b92675afe0015b!8m2!3d17.4931327!4d78.4222143!16s%2Fg%2F11s51vllb0!19sChIJTx3yO7aRyzsRWwHgr3UmuRE?authuser=0&hl=en&rclk=1
Jyothi Ladies Emporium & Stationary Shop,Clothing store,"8JP4+2R2, Surya Colony Rd",095029 59305,4.6,10,https://www.google.com/maps/place/Jyothi+Ladies+Emporium+%26+Stationary+Shop/data=!4m7!3m6!1s0x3bcba1b2e25afe77:0x2ac07304d1470b1e!8m2!3d17.3350087!4d78.6070073!16s%2Fg%2F11ffnhzxjs!19sChIJd_5a4rKhyzsRHgtH0QRzwCo?authuser=0&hl=en&rclk=1
Ms Ladies Emporium,Fabric store,"Shanthi Nagar, 997R 9CV, Raghuram Nagar Colony, , Bandlaguda Jagir",063029 61082,,,https://www.google.com/maps/place/Ms+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb9670a359e82b:0x68b88f1f46f311ee!8m2!3d17.3637178!4d78.3909626!16s%2Fg%2F11t420j9wp!19sChIJK-hZo3CWyzsR7hHzRh-PuGg?authuser=0&hl=en&rclk=1
